SurveyID,Performance Criteria,Defect,Rating
01_CA_CF_ML,Deterioration Rate,Bleeding,6
01_CA_CF_ML,Deterioration Rate,Thickness deficiency,8
01_CA_CF_ML,Deterioration Rate,Pothole,6
01_CA_CF_ML,Deterioration Rate,Raveling,8
01_CA_CF_ML,Deterioration Rate,Roughness,8
01_CA_CF_ML,Deterioration Rate,Rutting,4
01_CA_CF_ML,Deterioration Rate,Skid Resistance,5
01_CA_CF_ML,Deterioration Rate,Subsurface Cracks,5
01_CA_CF_ML,Deterioration Rate,Surface Cracks,4
01_CA_CF_ML,Environmental Impact,Bleeding,10
01_CA_CF_ML,Environmental Impact,Thickness deficiency,7
01_CA_CF_ML,Environmental Impact,Pothole,6
01_CA_CF_ML,Environmental Impact,Raveling,5
01_CA_CF_ML,Environmental Impact,Roughness,6
01_CA_CF_ML,Environmental Impact,Rutting,2
01_CA_CF_ML,Environmental Impact,Skid Resistance,6
01_CA_CF_ML,Environmental Impact,Subsurface Cracks,5
01_CA_CF_ML,Environmental Impact,Surface Cracks,2
01_CA_CF_ML,Rideability,Bleeding,3
01_CA_CF_ML,Rideability,Thickness deficiency,1
01_CA_CF_ML,Rideability,Pothole,3
01_CA_CF_ML,Rideability,Raveling,1
01_CA_CF_ML,Rideability,Roughness,4
01_CA_CF_ML,Rideability,Rutting,2
01_CA_CF_ML,Rideability,Skid Resistance,5
01_CA_CF_ML,Rideability,Subsurface Cracks,3
01_CA_CF_ML,Rideability,Surface Cracks,4
01_CA_CF_ML,Safety,Bleeding,3
01_CA_CF_ML,Safety,Thickness deficiency,5
01_CA_CF_ML,Safety,Pothole,6
01_CA_CF_ML,Safety,Raveling,7
01_CA_CF_ML,Safety,Roughness,1
01_CA_CF_ML,Safety,Rutting,4
01_CA_CF_ML,Safety,Skid Resistance,3
01_CA_CF_ML,Safety,Subsurface Cracks,5
01_CA_CF_ML,Safety,Surface Cracks,6
01_CA_CF_ML,User Costs,Bleeding,4
01_CA_CF_ML,User Costs,Thickness deficiency,1
01_CA_CF_ML,User Costs,Pothole,6
01_CA_CF_ML,User Costs,Raveling,2
01_CA_CF_ML,User Costs,Roughness,1
01_CA_CF_ML,User Costs,Rutting,8
01_CA_CF_ML,User Costs,Skid Resistance,6
01_CA_CF_ML,User Costs,Subsurface Cracks,5
01_CA_CF_ML,User Costs,Surface Cracks,4
02_CA_CF_ML,Deterioration Rate,Bleeding,3
02_CA_CF_ML,Deterioration Rate,Thickness deficiency,7
02_CA_CF_ML,Deterioration Rate,Pothole,8
02_CA_CF_ML,Deterioration Rate,Raveling,3
02_CA_CF_ML,Deterioration Rate,Roughness,4
02_CA_CF_ML,Deterioration Rate,Rutting,7
02_CA_CF_ML,Deterioration Rate,Skid Resistance,4
02_CA_CF_ML,Deterioration Rate,Subsurface Cracks,7
02_CA_CF_ML,Deterioration Rate,Surface Cracks,8
02_CA_CF_ML,Environmental Impact,Bleeding,1
02_CA_CF_ML,Environmental Impact,Thickness deficiency,1
02_CA_CF_ML,Environmental Impact,Pothole,3
02_CA_CF_ML,Environmental Impact,Raveling,1
02_CA_CF_ML,Environmental Impact,Roughness,3
02_CA_CF_ML,Environmental Impact,Rutting,3
02_CA_CF_ML,Environmental Impact,Skid Resistance,3
02_CA_CF_ML,Environmental Impact,Subsurface Cracks,1
02_CA_CF_ML,Environmental Impact,Surface Cracks,3
02_CA_CF_ML,Rideability,Bleeding,2
02_CA_CF_ML,Rideability,Thickness deficiency,3
02_CA_CF_ML,Rideability,Pothole,9
02_CA_CF_ML,Rideability,Raveling,3
02_CA_CF_ML,Rideability,Roughness,8
02_CA_CF_ML,Rideability,Rutting,5
02_CA_CF_ML,Rideability,Skid Resistance,1
02_CA_CF_ML,Rideability,Subsurface Cracks,3
02_CA_CF_ML,Rideability,Surface Cracks,6
02_CA_CF_ML,Safety,Bleeding,8
02_CA_CF_ML,Safety,Thickness deficiency,1
02_CA_CF_ML,Safety,Pothole,8
02_CA_CF_ML,Safety,Raveling,4
02_CA_CF_ML,Safety,Roughness,4
02_CA_CF_ML,Safety,Rutting,8
02_CA_CF_ML,Safety,Skid Resistance,10
02_CA_CF_ML,Safety,Subsurface Cracks,1
02_CA_CF_ML,Safety,Surface Cracks,8
02_CA_CF_ML,User Costs,Bleeding,1
02_CA_CF_ML,User Costs,Thickness deficiency,1
02_CA_CF_ML,User Costs,Pothole,8
02_CA_CF_ML,User Costs,Raveling,3
02_CA_CF_ML,User Costs,Roughness,8
02_CA_CF_ML,User Costs,Rutting,3
02_CA_CF_ML,User Costs,Skid Resistance,3
02_CA_CF_ML,User Costs,Subsurface Cracks,1
02_CA_CF_ML,User Costs,Surface Cracks,4
03_UK_CF_ML,Deterioration Rate,Bleeding,6
03_UK_CF_ML,Deterioration Rate,Thickness deficiency,9
03_UK_CF_ML,Deterioration Rate,Pothole,8
03_UK_CF_ML,Deterioration Rate,Raveling,6
03_UK_CF_ML,Deterioration Rate,Roughness,9
03_UK_CF_ML,Deterioration Rate,Rutting,10
03_UK_CF_ML,Deterioration Rate,Skid Resistance,5
03_UK_CF_ML,Deterioration Rate,Subsurface Cracks,10
03_UK_CF_ML,Deterioration Rate,Surface Cracks,6
03_UK_CF_ML,Environmental Impact,Bleeding,5
03_UK_CF_ML,Environmental Impact,Thickness deficiency,9
03_UK_CF_ML,Environmental Impact,Pothole,8
03_UK_CF_ML,Environmental Impact,Raveling,5
03_UK_CF_ML,Environmental Impact,Roughness,4
03_UK_CF_ML,Environmental Impact,Rutting,7
03_UK_CF_ML,Environmental Impact,Skid Resistance,5
03_UK_CF_ML,Environmental Impact,Subsurface Cracks,7
03_UK_CF_ML,Environmental Impact,Surface Cracks,5
03_UK_CF_ML,Rideability,Bleeding,9
03_UK_CF_ML,Rideability,Thickness deficiency,3
03_UK_CF_ML,Rideability,Pothole,9
03_UK_CF_ML,Rideability,Raveling,9
03_UK_CF_ML,Rideability,Roughness,10
03_UK_CF_ML,Rideability,Rutting,7
03_UK_CF_ML,Rideability,Skid Resistance,10
03_UK_CF_ML,Rideability,Subsurface Cracks,7
03_UK_CF_ML,Rideability,Surface Cracks,4
03_UK_CF_ML,Safety,Bleeding,10
03_UK_CF_ML,Safety,Thickness deficiency,6
03_UK_CF_ML,Safety,Pothole,9
03_UK_CF_ML,Safety,Raveling,10
03_UK_CF_ML,Safety,Roughness,10
03_UK_CF_ML,Safety,Rutting,10
03_UK_CF_ML,Safety,Skid Resistance,10
03_UK_CF_ML,Safety,Subsurface Cracks,9
03_UK_CF_ML,Safety,Surface Cracks,5
03_UK_CF_ML,User Costs,Bleeding,7
03_UK_CF_ML,User Costs,Thickness deficiency,2
03_UK_CF_ML,User Costs,Pothole,9
03_UK_CF_ML,User Costs,Raveling,7
03_UK_CF_ML,User Costs,Roughness,7
03_UK_CF_ML,User Costs,Rutting,7
03_UK_CF_ML,User Costs,Skid Resistance,8
03_UK_CF_ML,User Costs,Subsurface Cracks,6
03_UK_CF_ML,User Costs,Surface Cracks,5
04_CA_CF_ML,Deterioration Rate,Bleeding,4
04_CA_CF_ML,Deterioration Rate,Thickness deficiency,4
04_CA_CF_ML,Deterioration Rate,Pothole,5
04_CA_CF_ML,Deterioration Rate,Raveling,4
04_CA_CF_ML,Deterioration Rate,Roughness,6
04_CA_CF_ML,Deterioration Rate,Rutting,6
04_CA_CF_ML,Deterioration Rate,Skid Resistance,6
04_CA_CF_ML,Deterioration Rate,Subsurface Cracks,4
04_CA_CF_ML,Deterioration Rate,Surface Cracks,4
04_CA_CF_ML,Environmental Impact,Bleeding,3
04_CA_CF_ML,Environmental Impact,Thickness deficiency,3
04_CA_CF_ML,Environmental Impact,Pothole,3
04_CA_CF_ML,Environmental Impact,Raveling,3
04_CA_CF_ML,Environmental Impact,Roughness,3
04_CA_CF_ML,Environmental Impact,Rutting,2
04_CA_CF_ML,Environmental Impact,Skid Resistance,4
04_CA_CF_ML,Environmental Impact,Subsurface Cracks,3
04_CA_CF_ML,Environmental Impact,Surface Cracks,3
04_CA_CF_ML,Rideability,Bleeding,3
04_CA_CF_ML,Rideability,Thickness deficiency,5
04_CA_CF_ML,Rideability,Pothole,6
04_CA_CF_ML,Rideability,Raveling,3
04_CA_CF_ML,Rideability,Roughness,6
04_CA_CF_ML,Rideability,Rutting,5
04_CA_CF_ML,Rideability,Skid Resistance,8
04_CA_CF_ML,Rideability,Subsurface Cracks,3
04_CA_CF_ML,Rideability,Surface Cracks,3
04_CA_CF_ML,Safety,Bleeding,3
04_CA_CF_ML,Safety,Thickness deficiency,5
04_CA_CF_ML,Safety,Pothole,4
04_CA_CF_ML,Safety,Raveling,3
04_CA_CF_ML,Safety,Roughness,7
04_CA_CF_ML,Safety,Rutting,7
04_CA_CF_ML,Safety,Skid Resistance,9
04_CA_CF_ML,Safety,Subsurface Cracks,3
04_CA_CF_ML,Safety,Surface Cracks,3
04_CA_CF_ML,User Costs,Bleeding,4
04_CA_CF_ML,User Costs,Thickness deficiency,4
04_CA_CF_ML,User Costs,Pothole,5
04_CA_CF_ML,User Costs,Raveling,4
04_CA_CF_ML,User Costs,Roughness,4
04_CA_CF_ML,User Costs,Rutting,4
04_CA_CF_ML,User Costs,Skid Resistance,6
04_CA_CF_ML,User Costs,Subsurface Cracks,4
04_CA_CF_ML,User Costs,Surface Cracks,2
05_US_AI_ML,Deterioration Rate,Bleeding,9
05_US_AI_ML,Deterioration Rate,Thickness deficiency,9
05_US_AI_ML,Deterioration Rate,Pothole,10
05_US_AI_ML,Deterioration Rate,Raveling,9
05_US_AI_ML,Deterioration Rate,Roughness,5
05_US_AI_ML,Deterioration Rate,Rutting,7
