Section ID,Roughness,Rutting,Cracking,Potholes,Bleeding,Raveling,Thickness Deficiency,Subsurface Cracking
Sample_01,0.693000019,6,41,0,0,0,58.45869061,86.25533849
Sample_02,2.112999916,17,54,1.5,0,0,13.61345355,100
Sample_03,0.811999977,8,29,0,0,0,100,67.5
Sample_04,0.630999982,10,55,0,0,0,100,100
Sample_05,0.73299998,9,31,0,0,0,100,53.74454618
Sample_06,0.672999978,7,35,0,0,0,70,67.5
Sample_07,0.601999998,9,48,0,0,0,6.8317E-16,67.5
Sample_08,0.713,9,14,0,0,0,100,100
Sample_09,1.256000042,7,20,0,,,66.82073088,67.5
Sample_10,0.916999996,5,28,0,,,57.59350619,86.25533849
Sample_11,0.685000002,3,19,0,0,51.52027027,100,67.5
Sample_12,0.839999974,5,6,0,,,100,67.5
Sample_13,0.912,9,22,0,0,51.52027027,68.26134605,86.25533849
Sample_14,0.915000021,6,24,0,,,100,86.25533849
Sample_15,0.925000012,18,27,0,0,51.52027027,96.58534335,86.25533849
Sample_16,1.019000053,7,23,0,,,65.05414252,100
Sample_17,0.850000024,6,27,0,,,48.83024216,86.25533849
Sample_18,1.065999985,5,20,0,,,6.8317E-16,67.5
Sample_19,0.707000017,6,27,0,0,51.52027027,65.04273551,86.25533849
Sample_20,0.941999972,6,27,0,0,51.52027027,73.20600995,86.25533849
Sample_21,1.121000051,3,13,0.200000003,0,0,76.97183458,67.5
Sample_22,1.047000051,6,37,0,0,0,100,100
Sample_23,1.006999969,3,13,0,0,0,63.26389252,86.25533849
Sample_24,1.037999988,5,7,0,0,0,86.27657199,100
Sample_25,1.092000008,3,24,0,0,0,100,86.25533849
Sample_26,0.875,5,19,0,0,0,100,40
Sample_27,1.699000001,4,38,0,0,0,100,40
Sample_28,1.485999942,4,22,0,0,0,100,100
Sample_29,1.070000052,4,41,0,0,0,50,5.220980716
Sample_30,0.976999998,3,9,0,0,0,6.8317E-16,67.5
Sample_31,1,4,4,0,0,0,6.8317E-16,86.25533849
Sample_32,1.157999992,5,8,0,0,0,6.8317E-16,86.25533849
Sample_33,0.887000024,3,7,0,0,0,6.8317E-16,100
Sample_34,0.76700002,3,0,0,0,0,6.8317E-16,100
Sample_35,0.795000017,4,26,0,0,0,6.8317E-16,100
Sample_36,0.75999999,4,2,0,0,0,22.21556383,100
Sample_37,0.730000019,2,15,0,0,0,6.8317E-16,100
Sample_38,0.745999992,3,9,0,0,0,6.8317E-16,100
Sample_39,0.670000017,3,0,0,0,0,33.05813335,100
Sample_40,0.672999978,2,0,0,0,0,32.59062919,100
Sample_41,0.624000013,3,0,0,0,0,6.8317E-16,100
Sample_42,0.67900002,3,0,0,0,0,6.8317E-16,100
Sample_43,0.547999978,2,8,0,0,0,6.8317E-16,100
Sample_44,0.88499999,5,0,0,0,0,39.84471789,67.5
Sample_45,0.792999983,3,1,0,0,0,100,86.25533849
Sample_46,0.80400002,7,1,0,29.17229678,0,100,100
Sample_47,0.777999997,5,0,0,35.55743243,0,79.29571479,67.5
Sample_48,0.782999992,6,1,0,0,0,90.88503223,67.5
Sample_49,0.620999992,5,0,0,17.51689138,0,100,67.5
Sample_50,0.850000024,5,4,0,24.5777027,0,100,86.25533849
Sample_51,0.781000018,5,2,0,11.58783758,0,40,67.5
Sample_52,0.737999976,4,0,0,20.20270244,0,11.12615766,67.5
Sample_53,0.908999979,6,2,0,30.52364813,0,40,75.00757438
Sample_54,0.716000021,6,0,0,37.41554054,0,41.17927907,100
Sample_55,0.726000011,4,1,0,37.60135238,0,100,40
Sample_56,1.052000046,3,0,0,0,0,4.16216E-16,86.25533849
Sample_57,1.902999997,4,1,0,0,0,100,25.52851783
Sample_58,2.503000021,7,0,0,0,45.97973179,1.34604E-17,19.21812287
Sample_59,1.404999971,2,2,0,0,0,100,16.21465416
Sample_60,1.220000029,3,2,0,0,50.89526821,100,27.01341352
Sample_61,1.468000054,5,1,0,0,0,100,17.85829646
Sample_62,1.20599997,4,1,0,0,0,100,19.75432567
Sample_63,1.187999964,4,13,0,0,0,19.09968216,53.74454618
Sample_64,1.68599999,8,0,0,0,0,100,24.25193926
Sample_65,1.029999971,5,0,0,0,0,77.34671766,67.5
Sample_66,1.547999978,4,0,0,0,0,100,13.50064358
Sample_67,1.23300004,3,0,0,0,0,84.00515753,25.6160373
Sample_68,1.103000045,3,0,0,0,0,100,40
Sample_69,1.052000046,4,0,0,0,0,73.63778203,100
Sample_70,0.816999972,4,0,0,0,0,100,100
Sample_71,0.621999979,5,0,0,0,0,100,100
Sample_72,0.694000006,5,0,0,0,0,48.66797404,100
Sample_73,0.603999972,6,0,0,0,0,80.17601371,100
Sample_74,0.769999981,4,0,0,0,0,98.26650595,100
Sample_75,0.651000023,3,0,0,0,0,96.34532702,100
Sample_76,0.595000029,4,0,0,0,0,98.08461738,100
Sample_77,0.709999979,4,0,0,0,0,31.43003421,100
Sample_78,0.653999984,2,0,0,0,0,100,100
Sample_79,0.561999977,3,0,0,0,0,3.856921579,100
Sample_80,0.731000006,4,0,0,0,0,6.8317E-16,100
Sample_81,0.785000026,5,0,0,0,0,100,100
Sample_82,0.56400001,3,0,0,0,0,39.73239324,100
Sample_83,0.815999985,4,0,0,0,0,100,100
Sample_84,1.144000053,6,25,0.400000006,0,0,100,100
Sample_85,1.350999951,5,24,0,0,0,100,100
Sample_86,0.573000014,2,0,0,0,0,100,100
Sample_87,0.765999973,2,0,0,0,0,100,100
Sample_88,1.019999981,5,28,0,0,0,85.8833705,100
Sample_89,0.800000012,3,28,0,0,43.76689292,6.8317E-16,67.5
Sample_90,0.799000025,3,40,0,0,0,6.8317E-16,86.25533849
Sample_91,0.763999999,3,5,0,0,43.76689292,100,100
Sample_92,0.898999989,3,40,0,0,43.76689292,6.8317E-16,86.25533849
Sample_93,0.606999993,3,5,0,0,46.3344574,100,86.25533849
Sample_94,1.082999945,4,29,0,0,43.76689292,4.047229447,67.5
Sample_95,1.633999944,8,54,0,0,0,77.60358825,86.25533849
Sample_96,1.470999956,8,49,0,0,0,13.72615143,67.5
Sample_97,1.282999992,5,52,0,0,0,94.69764883,100
Sample_98,0.898000002,4,13,0,0,43.76689292,6.8317E-16,86.25533849
Sample_99,0.828999996,3,10,0,0,43.76689292,6.8317E-16,86.25533849
Sample_100,0.77700001,3,1,0,0,0,100,67.5
Sample_101,1.381999969,5,2,0,0,0.28716217,42.52012457,86.25533849
Sample_102,0.68900001,5,12,0,0,0,100,49.89257845
Sample_103,0.644999981,2,0,0,0,0,100,100
Sample_104,0.699000001,6,1,0,0,0,100,100
Sample_105,0.657000005,3,1,0,0,0,100,100
Sample_106,0.878000021,4,1,0,0,0,14.16485957,67.5
Sample_107,0.670000017,4,1,0,0,0,34.7712437,67.5
Sample_108,0.611999989,3,1,0,0,0,49.43980272,67.5
Sample_109,0.638999999,4,1,0,0,0,100,86.25533849
Sample_110,0.676999986,5,0,0,0,0,100,67.5
Sample_111,0.736999989,5,0,0,0,0,9.871506382,64.08203122
Sample_112,1.103999972,7,7,0,0.506756757,0,9.747414569,100
Sample_113,1.230999947,7,15,0,0,0,54.32080642,100
Sample_114,1.371999979,7,2,0,0,0,75.78349073,86.25533849
Sample_115,0.856999993,7,1,0,0,0,100,100
Sample_116,0.93900001,7,6,0,0,0,100,100
Sample_117,0.978999972,7,1,0,0.050675678,0,100,100
Sample_118,1.195000052,7,7,0,0,0,100,100
Sample_119,0.962000012,8,0,0,0.523648633,0.439189173,100,100
Sample_120,0.851999998,8,0,0,0,0,100,86.25533849
Sample_121,0.704999983,8,0,0,0.033783784,0,100,100
Sample_122,0.703999996,7,0,0,0,0,100,100
Sample_123,1.213000059,7,0,0,0,0,27.47898099,100
Sample_124,1.394000053,3,18,0,0,0,26.73649188,100
